title,content,source_url
A Light in the Attic,A Light in the Attic. Price: Â£51.77. Status: In stock,http://books.toscrape.com/
Tipping the Velvet,Tipping the Velvet. Price: Â£53.74. Status: In stock,http://books.toscrape.com/
Soumission,Soumission. Price: Â£50.10. Status: In stock,http://books.toscrape.com/
Sharp Objects,Sharp Objects. Price: Â£47.82. Status: In stock,http://books.toscrape.com/
Sapiens: A Brief History of Humankind,Sapiens: A Brief History of Humankind. Price: Â£54.23. Status: In stock,http://books.toscrape.com/
The Requiem Red,The Requiem Red. Price: Â£22.65. Status: In stock,http://books.toscrape.com/
The Dirty Little Secrets of Getting Your Dream Job,The Dirty Little Secrets of Getting Your Dream Job. Price: Â£33.34. Status: In stock,http://books.toscrape.com/
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull","The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull. Price: Â£17.93. Status: In stock",http://books.toscrape.com/
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics. Price: Â£22.60. Status: In stock,http://books.toscrape.com/
The Black Maria,The Black Maria. Price: Â£52.15. Status: In stock,http://books.toscrape.com/
"Starving Hearts (Triangular Trade Trilogy, #1)","Starving Hearts (Triangular Trade Trilogy, #1). Price: Â£13.99. Status: In stock",http://books.toscrape.com/
Shakespeare's Sonnets,Shakespeare's Sonnets. Price: Â£20.66. Status: In stock,http://books.toscrape.com/
Set Me Free,Set Me Free. Price: Â£17.46. Status: In stock,http://books.toscrape.com/
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Scott Pilgrim's Precious Little Life (Scott Pilgrim #1). Price: Â£52.29. Status: In stock,http://books.toscrape.com/
Rip it Up and Start Again,Rip it Up and Start Again. Price: Â£35.02. Status: In stock,http://books.toscrape.com/
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991","Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991. Price: Â£57.25. Status: In stock",http://books.toscrape.com/
Olio,Olio. Price: Â£23.88. Status: In stock,http://books.toscrape.com/
